place_key,name,locality,address,city,district,pincode,maps_url,business_type,case_type,status,inspection_date,action_date,violations,summary,timeline,source_name,source_title,source_url,source_published_at,source_name_2,source_url_2,verification_status,notes
flint-waarsa-nariman-point,Flint & Waarsa,Nariman Point,,Mumbai,Mumbai City,,https://www.google.com/maps/search/?api=1&query=Flint+%26+Waarsa+Nariman+Point+Mumbai,restaurant,licence_suspension,licence_suspended,2026-06-27,,labelling: FDA reported misbranded food products; other: products seized for incorrect labelling; expired_food: expired food items destroyed,"The Indian Express reported that FDA inspectors found misbranded food products during an inspection and collected five samples for laboratory analysis. Products worth ₹11,350 were seized for incorrect labelling and expired food worth ₹16,201 was destroyed.",2026-06-27: Inspection | 2026-06-30: Licence suspension reported,The Indian Express,"Rats, cockroaches, rotting food: FDA suspends six Mumbai eateries in hygiene crackdown",https://indianexpress.com/article/cities/mumbai/fda-suspends-six-mumbai-eateries-hygiene-crackdown-10764532/,2026-06-30,,,reported,Inspection drive conducted June 26-28; exact suspension date not stated in article. Map is approximate search.
mk-bakery-borivali-east,M.K. Bakery,Borivali East,,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=M.K.+Bakery+Borivali+East+Mumbai,bakery,licence_suspension,licence_suspended,2026-06-28,,poor_hygiene: premises reported unhygienic; labelling: products seized for labelling violations,"The Indian Express reported that FDA inspectors found food production continuing during renovation and described the premises as unhygienic. Two food samples were collected and products worth ₹8,100 were seized for labelling violations.",2026-06-28: Inspection | 2026-06-30: Licence suspension reported,The Indian Express,"Rats, cockroaches, rotting food: FDA suspends six Mumbai eateries in hygiene crackdown",https://indianexpress.com/article/cities/mumbai/fda-suspends-six-mumbai-eateries-hygiene-crackdown-10764532/,2026-06-30,,,reported,Inspection date within June 26-28 drive inferred from article's stated drive window; map is approximate search.
hotel-shree-krishna-bhandup,Hotel Shree Krishna (Sujit Bar and Restaurant),Bhandup West,,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=Hotel+Shree+Krishna+Sujit+Bar+and+Restaurant+Bhandup+West+Mumbai,restaurant,licence_suspension,licence_suspended,2026-06-28,,temperature_control: refrigerators lacked temperature display systems; improper_storage: rusted and leaking kitchen refrigerator; poor_hygiene: poor overall hygiene standards,"The Indian Express reported multiple deficiencies at Hotel Shree Krishna, including refrigerators without temperature displays, a rusted and leaking kitchen refrigerator and poor overall hygiene.",2026-06-28: Inspection | 2026-06-30: Licence suspension reported,The Indian Express,"Rats, cockroaches, rotting food: FDA suspends six Mumbai eateries in hygiene crackdown",https://indianexpress.com/article/cities/mumbai/fda-suspends-six-mumbai-eateries-hygiene-crackdown-10764532/,2026-06-30,,,reported,Inspection date within June 26-28 drive; map is approximate search.
hotel-gopal-krishna-santacruz,Hotel Gopal Krishna,Santacruz East,,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=Hotel+Gopal+Krishna+Santacruz+East+Mumbai,restaurant,licence_suspension,licence_suspended,2026-06-28,,pest_infestation: rat found inside premises; waste_management: garbage accumulation in drainage lines; other: foul smell from kitchen,"The Indian Express reported that inspectors found a rat inside Hotel Gopal Krishna, a foul smell from the kitchen and garbage accumulation in drainage lines, along with other food-safety violations.",2026-06-28: Inspection | 2026-06-30: Licence suspension reported,The Indian Express,"Rats, cockroaches, rotting food: FDA suspends six Mumbai eateries in hygiene crackdown",https://indianexpress.com/article/cities/mumbai/fda-suspends-six-mumbai-eateries-hygiene-crackdown-10764532/,2026-06-30,,,reported,Inspection date within June 26-28 drive; map is approximate search.
karak-enterprises-andheri-east,Karak Enterprises Pvt Ltd,Andheri East,,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=Karak+Enterprises+Pvt+Ltd+Andheri+East+Mumbai,other,licence_suspension,licence_suspended,2026-06-28,,pest_infestation: heavy cockroach infestation; poor_hygiene: peeling walls and ceilings; employee_medical_records: mandatory medical examinations not conducted; temperature_control: refrigeration equipment unable to maintain safe food temperatures,"The Indian Express reported a heavy cockroach infestation, absence of insect-proof mesh, missing mandatory employee medical examinations, peeling walls and ceilings and refrigeration equipment unable to maintain safe food temperatures.",2026-06-28: Inspection | 2026-06-30: Licence suspension reported,The Indian Express,"Rats, cockroaches, rotting food: FDA suspends six Mumbai eateries in hygiene crackdown",https://indianexpress.com/article/cities/mumbai/fda-suspends-six-mumbai-eateries-hygiene-crackdown-10764532/,2026-06-30,,,reported,Business type unclear from source; classified as other. Inspection date within June 26-28 drive; map is approximate search.
ace-clubs-resorts-bandra-west,Ace Clubs and Resorts Pvt Ltd (Madras Diaries),Bandra West,,Mumbai,Mumbai Suburban,,https://www.google.com/maps/search/?api=1&query=Ace+Clubs+and+Resorts+Madras+Diaries+Bandra+West+Mumbai,restaurant,licence_suspension,licence_suspended,2026-06-28,,poor_hygiene: failed to maintain prescribed hygiene standards; missing_records: lacked mandatory food testing records and statutory documentation,The Indian Express reported that FDA inspectors found the establishment had failed to maintain prescribed hygiene standards and lacked mandatory food testing records and statutory documentation.,2026-06-28: Inspection | 2026-06-30: Licence suspension reported,The Indian Express,"Rats, cockroaches, rotting food: FDA suspends six Mumbai eateries in hygiene crackdown",https://indianexpress.com/article/cities/mumbai/fda-suspends-six-mumbai-eateries-hygiene-crackdown-10764532/,2026-06-30,,,reported,Inspection date within June 26-28 drive; map is approximate search.
k-rustom-churchgate,K Rustom & Co,Churchgate,,Mumbai,Mumbai City,,https://www.google.com/maps/search/?api=1&query=K+Rustom+%26+Co+Churchgate+Mumbai,other,licence_suspension,licence_suspended,2026-07-07,2026-07-08,pest_infestation: live rats and houseflies; expired_food: expired food products; temperature_control: cold-chain maintenance lapses; missing_records: mandatory food safety records not maintained,"The Indian Express reported that FDA inspectors found live rats, houseflies, expired food products and lapses in cold-chain maintenance during the inspection. The food business licence was suspended under the Food Safety and Standards Act.",2026-07-07: Inspection | 2026-07-08: Licence suspended,The Indian Express,FDA suspends licence of iconic Mumbai ice cream outlet K Rustom over food safety violations,https://indianexpress.com/article/cities/mumbai/k-rustom-ice-cream-mumbai-licence-suspended-hygiene-violations-rats-10777888/,2026-07-08,Times of India,https://timesofindia.indiatimes.com/city/mumbai/rats-flies-at-mumbais-iconic-k-rustom-ice-cream-shop-food-licence-suspended/articleshow/132270700.cms,reported,
shalimar-hospitality-bhendi-bazaar,Shalimar Hospitality Pvt Ltd,Bhendi Bazaar,,Mumbai,Mumbai City,,https://www.google.com/maps/search/?api=1&query=Shalimar+Hospitality+Bhendi+Bazaar+Mumbai,restaurant,licence_suspension,licence_suspended,2026-07-13,2026-07-14,poor_hygiene: wet and slippery kitchen floors; missing_records: raw material and edible oil quality records absent; water_quality: drinking water quality testing absent; other: vegetarian and non-vegetarian food not adequately segregated; pest_infestation: open windows without insect-proof mesh,The Indian Express reported that a reinspection found 25 deficiencies first flagged in April had not been rectified. The FDA suspended the licence on July 14.,2026-04-16: Initial inspection | 2026-04-28: Improvement notice | 2026-07-13: Reinspection | 2026-07-14: Licence suspended,The Indian Express,"After K Rustom, FDA suspends licences of Mumbai’s iconic Shalimar, Noor Mohammadi over alleged hygiene lapses",https://indianexpress.com/article/cities/mumbai/shalimar-noor-mohammadi-mumbai-fda-licence-suspended-hygiene-lapses-10786401/,2026-07-14,,,reported,
noor-mohammadi-bhendi-bazaar,Noor Mohammadi Hotel,Bhendi Bazaar,,Mumbai,Mumbai City,,https://www.google.com/maps/search/?api=1&query=Noor+Mohammadi+Hotel+Bhendi+Bazaar+Mumbai,restaurant,licence_suspension,licence_suspended,2026-07-13,2026-07-14,"poor_hygiene: thick grease on kitchen floors; pest_infestation: flies, insects and crows could enter through open windows; improper_storage: unhygienic storage of raw materials; missing_records: supplier and drinking water testing records absent; other: old and unclean utensils; inadequate drainage arrangements","The Indian Express reported that inspectors found grease on kitchen floors, open windows near the kebab section, unhygienic raw-material storage, old and unclean utensils and missing records. The licence was suspended with immediate effect.",2026-07-13: Inspection | 2026-07-14: Licence suspended,The Indian Express,"After K Rustom, FDA suspends licences of Mumbai’s iconic Shalimar, Noor Mohammadi over alleged hygiene lapses",https://indianexpress.com/article/cities/mumbai/shalimar-noor-mohammadi-mumbai-fda-licence-suspended-hygiene-lapses-10786401/,2026-07-14,Hindustan Times,https://www.hindustantimes.com/cities/mumbai-news/fda-suspends-licences-of-3-prominent-bhendi-bazar-mughlai-restaurants-101784056497750-amp.html,reported,
rehmania-umarkhadi,Rehmania Restaurant,Umarkhadi,,Mumbai,Mumbai City,,https://www.google.com/maps/search/?api=1&query=Rehmania+Restaurant+Umarkhadi+Mumbai,restaurant,licence_suspension,licence_suspended,2026-07-13,2026-07-13,"improper_storage: inadequate storage of food, chemicals and packaging materials; other: rusted equipment and peeling plaster/paint; pest_infestation: doors lacked insect-proofing; missing_records: mandatory food safety and drinking water quality records absent","The Indian Express reported that inspectors found inadequate storage arrangements, rusted equipment, peeling surfaces, doors without insect-proofing and missing mandatory records. The licence was suspended under the Food Safety and Standards Act.",2026-07-13: Inspection | 2026-07-13: Licence suspended,The Indian Express,"After K Rustom, FDA suspends licences of Mumbai’s iconic Shalimar, Noor Mohammadi over alleged hygiene lapses",https://indianexpress.com/article/cities/mumbai/shalimar-noor-mohammadi-mumbai-fda-licence-suspended-hygiene-lapses-10786401/,2026-07-14,Times of India,https://timesofindia.indiatimes.com/city/mumbai/fda-cracks-down-on-mumbai-eateries-suspends-licences-of-3-over-hygiene-violations/articleshow/132398352.cms,reported,
